TDID,Run,TestCaseID,DefectID,APPLICATIONNAME,PAGETITLE,MENU,SUBMENU,EXTERNALAPPLICATIONMENU,EXTERNALAPPLICATIONSUBMENU,STORENUMBER
98,YES,Store Search in Store Directory (for stores),,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame Transfers Received,Store,Store Directory (for stores),5101
99,YES,Store Search in SDS Store Export,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame Transfers Received,Store,SDS Store Export,5101
100,YES,Store Search in Location Info for DM,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame Transfers Received,Store,Location Info for DM,5101
101,YES,Store Search in Location Info,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame Transfers Received,Store,Location Info,5101
102,YES,Store Search in Locator (W2GI),,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame Transfers Received,Store,Locator (W2GI),5101
103,YES,Store Search in Alignment By Store,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame Transfers Received,Store,Alignment By Store,5101
104,YES,Store Search in Store POS,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame Transfers Received,Store,Store POS,5101
105,YES,Store Search in Store LAN,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame Transfers Received,Store,Store LAN,5101
106,YES,Store Search in Relocation History,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame Transfers Received,Store,Relocation History,5101
107,YES,Store Search in Relocation,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame Transfers Received,Store,Relocation,5101
108,YES,Store Search in Remodel,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame Transfers Received,Store,Remodel,5101
109,YES,Store Search in Closing,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame Transfers Received,Store,Closing,5101
110,YES,Store Search in Schedule,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame Transfers Received,Store,Schedule,5101
111,YES,Store Search in Audit,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame Transfers Received,Store,Audit,5101
112,YES,Store Search in Companies,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame Transfers Received,Org Units,Companies,5101
113,YES,Store Search in Stores,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame Transfers Received,Org Units,Stores,5101
114,YES,Store Search in NPS Rolling Periods,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame/Tag Requests,Report Card,NPS Rolling Periods,5101
115,YES,Store Search in Marketing Initiatives,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame/Tag Requests,Other,Marketing Initiatives,5101
116,YES,Store Search in ACLens Patient Search,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame/Tag Requests,Other,ACLens Patient Search,5101
117,YES,Store Search in Doctor Coverage,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame/Tag Requests,Other,Doctor Coverage,5101
118,YES,Store Search in UltiPro - SDS Lookup,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame/Tag Requests,Employees,UltiPro - SDS Lookup,5101
119,YES,Store Search in Search,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame/Tag Requests,Employees,Search,5101
120,YES,Store Search in Fees,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame/Tag Requests,DREX,Fees,5101
121,YES,Store Search in Incidents,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame/Tag Requests,Property,Incidents,5101
122,YES,Store Search in Telephone Inventory,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame/Tag Requests,Property,Telephone Inventory,5101
123,YES,Store Search in Monthly Entry,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame/Tag Requests,Military,Monthly Entry,5101
124,YES,Store Search in Daily Entry,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame/Tag Requests,Military,Daily Entry,5101
125,YES,Store Search in 1099 Doctor Entry,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame/Tag Requests,Store,1099 Doctor Entry,5101
126,YES,Store Search in PCI Audit History,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame/Tag Requests,Store,PCI Audit History,5101
127,YES,Store Search in Planograms,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame/Tag Requests,Store,Planograms,5101
128,YES,Store Search in Frame_Tag Requests,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame/Tag Requests,Store,Frame/Tag Requests,5101
129,YES,Store Search in Store Directory (for stores),,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame/Tag Requests,Store,Store Directory (for stores),5101
130,YES,Store Search in SDS Store Export,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame/Tag Requests,Store,SDS Store Export,5101
131,YES,Store Search in Location Info for DM,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame/Tag Requests,Store,Location Info for DM,5101
132,YES,Store Search in Location Info,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame/Tag Requests,Store,Location Info,5101
133,YES,Store Search in Locator (W2GI),,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame/Tag Requests,Store,Locator (W2GI),5101
134,YES,Store Search in Alignment By Store,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame/Tag Requests,Store,Alignment By Store,5101
135,YES,Store Search in Store POS,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame/Tag Requests,Store,Store POS,5101
136,YES,Store Search in Store LAN,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame/Tag Requests,Store,Store LAN,5101
137,YES,Store Search in Relocation History,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame/Tag Requests,Store,Relocation History,5101
138,YES,Store Search in Relocation,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame/Tag Requests,Store,Relocation,5101
139,YES,Store Search in Remodel,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame/Tag Requests,Store,Remodel,5101
140,YES,Store Search in Closing,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame/Tag Requests,Store,Closing,5101
141,YES,Store Search in Schedule,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame/Tag Requests,Store,Schedule,5101
142,YES,Store Search in Audit,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame/Tag Requests,Store,Audit,5101
143,YES,Store Search in Companies,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame/Tag Requests,Org Units,Companies,5101
144,YES,Store Search in Stores,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Frame/Tag Requests,Org Units,Stores,5101
145,YES,Store Search in Appointments Search,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Scheduler Appointments,Schedule,Appointments Search,5101
146,YES,Store Search in Monthly Schedule,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Scheduler Appointments,Schedule,Monthly Schedule,5101
147,YES,Store Search in Weekly Schedule,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Scheduler Appointments,Schedule,Weekly Schedule,5101
148,YES,Store Search in Scheduler,,NVI Corporate Portal,NVI Corporate Portal,Store Info,Scheduler Appointments,Stores,Scheduler,5101
149,YES,Store Search in NPS Rolling Periods,,NVI Corporate Portal,NVI Corporate Portal,Store Info,SIM,Report Card,NPS Rolling Periods,5101
150,YES,Store Search in Marketing Initiatives,,NVI Corporate Portal,NVI Corporate Portal,Store Info,SIM,Other,Marketing Initiatives,5101
151,YES,Store Search in ACLens Patient Search,,NVI Corporate Portal,NVI Corporate Portal,Store Info,SIM,Other,ACLens Patient Search,5101
152,YES,Store Search in Doctor Coverage,,NVI Corporate Portal,NVI Corporate Portal,Store Info,SIM,Other,Doctor Coverage,5101
153,YES,Store Search in UltiPro - SDS Lookup,,NVI Corporate Portal,NVI Corporate Portal,Store Info,SIM,Employees,UltiPro - SDS Lookup,5101
154,YES,Store Search in Search,,NVI Corporate Portal,NVI Corporate Portal,Store Info,SIM,Employees,Search,5101
155,YES,Store Search in Fees,,NVI Corporate Portal,NVI Corporate Portal,Store Info,SIM,DREX,Fees,5101
156,YES,Store Search in Incidents,,NVI Corporate Portal,NVI Corporate Portal,Store Info,SIM,Property,Incidents,5101
157,YES,Store Search in Telephone Inventory,,NVI Corporate Portal,NVI Corporate Portal,Store Info,SIM,Property,Telephone Inventory,5101
158,YES,Store Search in Monthly Entry,,NVI Corporate Portal,NVI Corporate Portal,Store Info,SIM,Military,Monthly Entry,5101
159,YES,Store Search in Daily Entry,,NVI Corporate Portal,NVI Corporate Portal,Store Info,SIM,Military,Daily Entry,5101
160,YES,Store Search in 1099 Doctor Entry,,NVI Corporate Portal,NVI Corporate Portal,Store Info,SIM,Store,1099 Doctor Entry,5101
161,YES,Store Search in PCI Audit History,,NVI Corporate Portal,NVI Corporate Portal,Store Info,SIM,Store,PCI Audit History,5101
162,YES,Store Search in Planograms,,NVI Corporate Portal,NVI Corporate Portal,Store Info,SIM,Store,Planograms,5101
